track,preset_folder,preset_label,wav_size_bytes,wav_size_kb,wav_size_mb,encoded_size_bytes,encoded_size_kb,encoded_size_mb,size_ratio_encoded_to_wav,percent_reduction_from_wav,,,,,,,,
SOAD/System of a Down/12 System of a Down - Darts.wav,mp3_320,320 CBR,28682684,28010.43359,27.35393906,6506622,6354.123047,6.205198288,0.226848436,77.31515642,,,,,,,,
SOAD/System of a Down/12 System of a Down - Darts.wav,mp3_v0,V0,28682684,28010.43359,27.35393906,5352413,5226.96582,5.104458809,0.186607815,81.33921846,,,,,,,,
SOAD/System of a Down/12 System of a Down - Darts.wav,mp3_v2,V2,28682684,28010.43359,27.35393906,3942835,3850.424805,3.760180473,0.137463949,86.25360514,,,,,,,,
SOAD/System of a Down/12 System of a Down - Darts.wav,mp3_v5,V5,28682684,28010.43359,27.35393906,2620977,2559.547852,2.499558449,0.091378373,90.86216269,,,,,,,,
SOAD/System of a Down/13 System of a Down - P.L.U.C.K..wav,mp3_128,128 CBR,38302364,37404.65234,36.5279808,3475373,3393.918945,3.31437397,0.090735209,90.92647911,,,,,,,,
SOAD/System of a Down/13 System of a Down - P.L.U.C.K..wav,mp3_192,192 CBR,38302364,37404.65234,36.5279808,5213039,5090.858398,4.971541405,0.136102278,86.38977218,,,,,,,,
SOAD/System of a Down/13 System of a Down - P.L.U.C.K..wav,mp3_320,320 CBR,38302364,37404.65234,36.5279808,8688369,8484.735352,8.285874367,0.226836364,77.31636355,,,,,,,,
SOAD/System of a Down/13 System of a Down - P.L.U.C.K..wav,mp3_v0,V0,38302364,37404.65234,36.5279808,7078763,6912.854492,6.750834465,0.184812692,81.5187308,,,,,,,,
SOAD/System of a Down/13 System of a Down - P.L.U.C.K..wav,mp3_v2,V2,38302364,37404.65234,36.5279808,4886980,4772.441406,4.660587311,0.127589514,87.24104862,,,,,,,,
SOAD/System of a Down/13 System of a Down - P.L.U.C.K..wav,mp3_v5,V5,38302364,37404.65234,36.5279808,3275487,3198.717773,3.123747826,0.085516575,91.44834246,,,,,,,,
SOAD/Toxicity/01 System Of A Down - Prison Song.wav,mp3_128,128 CBR,35484668,34652.99609,33.8408165,3219582,3144.123047,3.070432663,0.090731637,90.92683635,,,,,,,,
SOAD/Toxicity/01 System Of A Down - Prison Song.wav,mp3_192,192 CBR,35484668,34652.99609,33.8408165,4829352,4716.164063,4.605628967,0.136096863,86.3903137,,,,,,,,
SOAD/Toxicity/01 System Of A Down - Prison Song.wav,mp3_320,320 CBR,35484668,34652.99609,33.8408165,8048892,7860.246094,7.676021576,0.226827316,77.3172684,,,,,,,,
SOAD/Toxicity/01 System Of A Down - Prison Song.wav,mp3_v0,V0,35484668,34652.99609,33.8408165,6814290,6654.580078,6.498613358,0.192034768,80.79652316,,,,,,,,
SOAD/Toxicity/01 System Of A Down - Prison Song.wav,mp3_v2,V2,35484668,34652.99609,33.8408165,4899350,4784.521484,4.672384262,0.13806949,86.19305104,,,,,,,,
SOAD/Toxicity/01 System Of A Down - Prison Song.wav,mp3_v5,V5,35484668,34652.99609,33.8408165,3246361,3170.274414,3.095971107,0.091486301,90.85136995,,,,,,,,
SOAD/Toxicity/02 System Of A Down - Needles.wav,mp3_128,128 CBR,34181660,33380.52734,32.59817123,3101300,3028.613281,2.957630157,0.090729941,90.92700589,,,,,,,,
SOAD/Toxicity/02 System Of A Down - Needles.wav,mp3_192,192 CBR,34181660,33380.52734,32.59817123,4651928,4542.898438,4.436424255,0.136094268,86.39057319,,,,,,,,
SOAD/Toxicity/02 System Of A Down - Needles.wav,mp3_320,320 CBR,34181660,33380.52734,32.59817123,7753186,7571.470703,7.394014359,0.226822981,77.31770195,,,,,,,,
SOAD/Toxicity/02 System Of A Down - Needles.wav,mp3_v0,V0,34181660,33380.52734,32.59817123,6603245,6448.481445,6.297345161,0.193180934,80.68190661,,,,,,,,
SOAD/Toxicity/02 System Of A Down - Needles.wav,mp3_v2,V2,34181660,33380.52734,32.59817123,4639878,4531.130859,4.42493248,0.13574174,86.42582601,,,,,,,,
SOAD/Toxicity/02 System Of A Down - Needles.wav,mp3_v5,V5,34181660,33380.52734,32.59817123,3027520,2956.5625,2.887268066,0.088571474,91.14285263,,,,,,,,
SOAD/Toxicity/03 System Of A Down - Deer Dance.wav,mp3_128,128 CBR,30881804,30158.01172,29.45118332,2802041,2736.368164,2.672234535,0.090734369,90.9265631,,,,,,,,
SOAD/Toxicity/03 System Of A Down - Deer Dance.wav,mp3_192,192 CBR,30881804,30158.01172,29.45118332,4203040,4104.53125,4.008331299,0.136100857,86.38991427,,,,,,,,
SOAD/Toxicity/03 System Of A Down - Deer Dance.wav,mp3_320,320 CBR,30881804,30158.01172,29.45118332,7005039,6840.858398,6.68052578,0.226833866,77.31661337,,,,,,,,
SOAD/Toxicity/03 System Of A Down - Deer Dance.wav,mp3_v0,V0,30881804,30158.01172,29.45118332,5927126,5788.208984,5.652547836,0.191929396,80.80706036,,,,,,,,
SOAD/Toxicity/03 System Of A Down - Deer Dance.wav,mp3_v2,V2,30881804,30158.01172,29.45118332,4320585,4219.321289,4.120430946,0.139907144,86.0092856,,,,,,,,
SOAD/Toxicity/03 System Of A Down - Deer Dance.wav,mp3_v5,V5,30881804,30158.01172,29.45118332,2905610,2837.509766,2.77100563,0.094088091,90.59119085,,,,,,,,
SOAD/Toxicity/04 System Of A Down - Jet Pilot.wav,mp3_128,128 CBR,22308764,21785.90234,21.27529526,2024637,1977.18457,1.930844307,0.09075523,90.92447704,,,,,,,,
SOAD/Toxicity/04 System Of A Down - Jet Pilot.wav,mp3_192,192 CBR,22308764,21785.90234,21.27529526,3036934,2965.755859,2.896245956,0.136131881,86.38681193,,,,,,,,
SOAD/Toxicity/04 System Of A Down - Jet Pilot.wav,mp3_320,320 CBR,22308764,21785.90234,21.27529526,5061528,4942.898438,4.827049255,0.226885183,77.31148171,,,,,,,,
SOAD/Toxicity/04 System Of A Down - Jet Pilot.wav,mp3_v0,V0,22308764,21785.90234,21.27529526,4219138,4120.251953,4.023683548,0.189124687,81.08753134,,,,,,,,
SOAD/Toxicity/04 System Of A Down - Jet Pilot.wav,mp3_v2,V2,22308764,21785.90234,21.27529526,3009058,2938.533203,2.869661331,0.134882327,86.5117673,,,,,,,,
SOAD/Toxicity/04 System Of A Down - Jet Pilot.wav,mp3_v5,V5,22308764,21785.90234,21.27529526,2025950,1978.466797,1.932096481,0.090814085,90.91859146,,,,,,,,
SOAD/Toxicity/05 System Of A Down - X.wav,mp3_128,128 CBR,20914028,20423.85547,19.94517136,1897995,1853.510742,1.810069084,0.090752245,90.92477547,,,,,,,,
SOAD/Toxicity/05 System Of A Down - X.wav,mp3_192,192 CBR,20914028,20423.85547,19.94517136,2846972,2780.246094,2.715084076,0.136127388,86.38726122,,,,,,,,
SOAD/Toxicity/05 System Of A Down - X.wav,mp3_320,320 CBR,20914028,20423.85547,19.94517136,4744924,4633.714844,4.525112152,0.226877577,77.31224229,,,,,,,,
SOAD/Toxicity/05 System Of A Down - X.wav,mp3_v0,V0,20914028,20423.85547,19.94517136,3956834,3864.095703,3.77353096,0.189195214,81.08047861,,,,,,,,
SOAD/Toxicity/05 System Of A Down - X.wav,mp3_v2,V2,20914028,20423.85547,19.94517136,2845439,2778.749023,2.713622093,0.136054088,86.39459123,,,,,,,,
SOAD/Toxicity/05 System Of A Down - X.wav,mp3_v5,V5,20914028,20423.85547,19.94517136,1942284,1896.761719,1.852306366,0.092869915,90.71300851,,,,,,,,
SOAD/Toxicity/06 System Of A Down - Chop Suey!.wav,mp3_128,128 CBR,37086380,36217.16797,35.36832809,3365032,3286.164063,3.209144592,0.090734981,90.92650186,,,,,,,,
SOAD/Toxicity/06 System Of A Down - Chop Suey!.wav,mp3_192,192 CBR,37086380,36217.16797,35.36832809,5047527,4929.225586,4.813696861,0.136101906,86.38980941,,,,,,,,
SOAD/Toxicity/06 System Of A Down - Chop Suey!.wav,mp3_320,320 CBR,37086380,36217.16797,35.36832809,8412516,8215.347656,8.022800446,0.226835728,77.31642722,,,,,,,,
SOAD/Toxicity/06 System Of A Down - Chop Suey!.wav,mp3_v0,V0,37086380,36217.16797,35.36832809,7244866,7075.064453,6.90924263,0.195351124,80.46488765,,,,,,,,
SOAD/Toxicity/06 System Of A Down - Chop Suey!.wav,mp3_v2,V2,37086380,36217.16797,35.36832809,5206885,5084.848633,4.965672493,0.140398847,85.96011528,,,,,,,,
SOAD/Toxicity/06 System Of A Down - Chop Suey!.wav,mp3_v5,V5,37086380,36217.16797,35.36832809,3414385,3334.360352,3.256211281,0.092065739,90.79342605,,,,,,,,
SOAD/Toxicity/07 System Of A Down - Bounce.wav,mp3_128,128 CBR,20149628,19677.37109,19.21618271,1828614,1785.755859,1.743902206,0.09075175,90.92482501,,,,,,,,
SOAD/Toxicity/07 System Of A Down - Bounce.wav,mp3_192,192 CBR,20149628,19677.37109,19.21618271,2742900,2678.613281,2.615833282,0.136126583,86.38734174,,,,,,,,
SOAD/Toxicity/07 System Of A Down - Bounce.wav,mp3_320,320 CBR,20149628,19677.37109,19.21618271,4571471,4464.327148,4.359694481,0.226876198,77.31238016,,,,,,,,
SOAD/Toxicity/07 System Of A Down - Bounce.wav,mp3_v0,V0,20149628,19677.37109,19.21618271,3902494,3811.029297,3.721708298,0.193675734,80.63242656,,,,,,,,
SOAD/Toxicity/07 System Of A Down - Bounce.wav,mp3_v2,V2,20149628,19677.37109,19.21618271,2715473,2651.829102,2.589676857,0.134765416,86.5234584,,,,,,,,
SOAD/Toxicity/07 System Of A Down - Bounce.wav,mp3_v5,V5,20149628,19677.37109,19.21618271,1809168,1766.765625,1.725357056,0.08978667,91.021333,,,,,,,,
SOAD/Toxicity/08 System Of A Down - Forest.wav,mp3_128,128 CBR,42354860,41362.16797,40.39274216,3842759,3752.694336,3.664740562,0.090727699,90.92723007,,,,,,,,
SOAD/Toxicity/08 System Of A Down - Forest.wav,mp3_192,192 CBR,42354860,41362.16797,40.39274216,5764118,5629.021484,5.497091293,0.136091065,86.39089351,,,,,,,,
SOAD/Toxicity/08 System Of A Down - Forest.wav,mp3_320,320 CBR,42354860,41362.16797,40.39274216,9606835,9381.674805,9.161791801,0.226817773,77.31822275,,,,,,,,
SOAD/Toxicity/08 System Of A Down - Forest.wav,mp3_v0,V0,42354860,41362.16797,40.39274216,7945185,7758.969727,7.577118874,0.187586147,81.24138529,,,,,,,,
SOAD/Toxicity/08 System Of A Down - Forest.wav,mp3_v2,V2,42354860,41362.16797,40.39274216,5721917,5587.80957,5.456845284,0.135094698,86.49053025,,,,,,,,
SOAD/Toxicity/08 System Of A Down - Forest.wav,mp3_v5,V5,42354860,41362.16797,40.39274216,3760411,3672.276367,3.58620739,0.08878346,91.12165404,,,,,,,,
SOAD/Toxicity/09 System Of A Down - Atwa.wav,mp3_128,128 CBR,31081724,30353.24609,29.64184189,2820431,2754.327148,2.689772606,0.090742425,90.92575753,,,,,,,,
SOAD/Toxicity/09 System Of A Down - Atwa.wav,mp3_192,192 CBR,31081724,30353.24609,29.64184189,4230625,4131.469727,4.034638405,0.136112945,86.38870547,,,,,,,,
SOAD/Toxicity/09 System Of A Down - Atwa.wav,mp3_320,320 CBR,31081724,30353.24609,29.64184189,7051014,6885.755859,6.724370956,0.226854019,77.31459812,,,,,,,,
