track,track_stem,preset_short_label,label,spectral_mae_db,spectral_rmse_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db,delta_peak_db,delta_rms_db,delta_crest_db
Deftones/around the fur/05 Deftones - Rickets.wav,Deftones__around_the_fur__05_Deftones_-_Rickets,128 CBR,MP3 128 kbps CBR,8.87065315246582,17.5930118560791,0.9092320274687227,0.43337327241897583,0.4301609396934509,0.24929708242416382,11.01331901550293,1.6395149,-0.4109114999999992,2.0504250000000006
Deftones/around the fur/05 Deftones - Rickets.wav,Deftones__around_the_fur__05_Deftones_-_Rickets,192 CBR,MP3 192 kbps CBR,5.083743572235107,12.613301277160645,0.9129035710382217,0.25908780097961426,0.2617103159427643,0.23069553077220917,4.0903754234313965,0.8562395,-0.25887999999999955,1.1151184999999995
Deftones/around the fur/05 Deftones - Rickets.wav,Deftones__around_the_fur__05_Deftones_-_Rickets,320 CBR,MP3 320 kbps CBR,2.6099660396575928,8.705322265625,0.9249886967337793,0.0021599039901047945,0.0028781548608094454,0.006924246903508902,0.06753306090831757,0.6756301000000002,0.00023900000000054433,0.6753889999999991
Deftones/around the fur/05 Deftones - Rickets.wav,Deftones__around_the_fur__05_Deftones_-_Rickets,V0,MP3 VBR q0,0.1438114047050476,0.39387497305870056,0.9996127457125865,0.0028963088989257812,0.004658305086195469,0.01305965892970562,0.12259700894355774,0.4953262999999999,0.0004810000000006198,0.494845999999999
Deftones/around the fur/05 Deftones - Rickets.wav,Deftones__around_the_fur__05_Deftones_-_Rickets,V2,MP3 VBR q2,5.016103744506836,12.61022663116455,0.9134677438798954,0.005757668521255255,0.010987469926476479,0.03508299961686134,4.10537052154541,1.2146568000000002,-0.0030610000000006465,1.2177179999999996
Deftones/around the fur/05 Deftones - Rickets.wav,Deftones__around_the_fur__05_Deftones_-_Rickets,V5,MP3 VBR q5,9.173830032348633,17.69279670715332,0.910658680075203,0.040692947804927826,0.051341816782951355,0.2500825822353363,11.632333755493164,1.5236396,0.024796000000000262,1.498844
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,Deftones__around_the_fur__06_Deftones_-_Be_Quiet_and_Drive_(Far_Away),128 CBR,MP3 128 kbps CBR,8.08464241027832,16.12965202331543,0.9069184284097176,0.42691490054130554,0.42642563581466675,0.2331976443529129,10.713022232055664,1.3008059999999997,-0.41028549999999875,1.7110899999999987
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,Deftones__around_the_fur__06_Deftones_-_Be_Quiet_and_Drive_(Far_Away),192 CBR,MP3 192 kbps CBR,4.390946865081787,10.798864364624023,0.935898640037416,0.2598801851272583,0.2607485353946686,0.2216036319732666,3.9574992656707764,0.6119611000000003,-0.25822399999999845,0.8701859999999986
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,Deftones__around_the_fur__06_Deftones_-_Be_Quiet_and_Drive_(Far_Away),320 CBR,MP3 320 kbps CBR,2.0547425746917725,6.948304653167725,0.954744223332065,0.0013441197806969285,0.00229434622451663,0.00614057807251811,0.08155234903097153,0.35808740000000006,0.0004880000000007101,0.35759899999999867
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,Deftones__around_the_fur__06_Deftones_-_Be_Quiet_and_Drive_(Far_Away),V0,MP3 VBR q0,0.49496546387672424,1.3522921800613403,0.9977899777167633,0.0026868933346122503,0.003693563397973776,0.01010738406330347,0.2700943350791931,0.41994279999999984,0.0012990000000012714,0.4186439999999987
